Geo,D4c,Year
530330093003,142.0,2050
530330094001,24.0,2050
530330094002,48.0,2050
530330094003,32.0,2050
530330094004,97.0,2050
530330094005,24.0,2050
530330095001,55.0,2050
530330095002,73.0,2050
530330095003,43.0,2050
530330095004,76.0,2050
530330096001,47.0,2050
530330096002,38.0,2050
530330096003,30.0,2050
530330096004,17.0,2050
530330097011,24.0,2050
530330097012,6.0,2050
530330097013,36.0,2050
530330097014,25.0,2050
530330097021,25.0,2050
530330097022,36.0,2050
530330097023,9.0,2050
530330097024,6.0,2050
530330098011,17.0,2050
530330098012,25.0,2050
530330098013,11.0,2050
530330098021,43.0,2050
530330098022,43.0,2050
530330098023,11.0,2050
530330099001,51.0,2050
530330099002,49.0,2050
530330099003,73.0,2050
530330099004,73.0,2050
530330100011,56.0,2050
530330100012,40.0,2050
530330100013,62.0,2050
530330100021,37.0,2050
530330100022,62.0,2050
530330100023,62.0,2050
530330101011,14.0,2050
530330101012,12.0,2050
530330101013,20.0,2050
530330101021,6.0,2050
530330101022,20.0,2050
530330101023,20.0,2050
530330102001,6.0,2050
530330102002,6.0,2050
530330102003,8.0,2050
530330102004,6.0,2050
530330103011,8.0,2050
530330103012,16.0,2050
530330103013,14.0,2050
530330103021,20.0,2050
530330103022,14.0,2050
530330103023,8.0,2050
530330104011,38.0,2050
530330104012,50.0,2050
530330104013,52.0,2050
530330104021,58.0,2050
530330104022,30.0,2050
530330104023,35.0,2050
530330104024,18.0,2050
530330105011,20.0,2050
530330105012,17.0,2050
530330105013,46.0,2050
530330105021,32.0,2050
530330105022,3.0,2050
530330105023,23.0,2050
530330105024,58.0,2050
530330106011,40.0,2050
530330106012,40.0,2050
530330106013,6.0,2050
530330106021,37.0,2050
530330106022,3.0,2050
530330106023,26.0,2050
530330107011,30.0,2050
530330107012,30.0,2050
530330107013,30.0,2050
530330107021,6.0,2050
530330107022,12.0,2050
530330107023,17.0,2050
530330108001,22.0,2050
530330108002,30.0,2050
530330108003,30.0,2050
530330109001,29.0,2050
530330109002,45.0,2050
530330110011,68.0,2050
530330110012,76.0,2050
530330110013,27.0,2050
530330110021,60.0,2050
530330110022,27.0,2050
530330110023,27.0,2050
530330111011,14.0,2050
530330111012,12.0,2050
530330111013,8.0,2050
530330111014,22.0,2050
530330111021,6.0,2050
530330111022,8.0,2050
530330111023,8.0,2050
530330111024,14.0,2050
530330112001,22.0,2050
530330112002,27.0,2050
530330112003,18.0,2050
530330113001,27.0,2050
530330113002,31.0,2050
530330113003,3.0,2050
530330113004,14.0,2050
530330113005,3.0,2050
530330114011,33.0,2050
530330114012,33.0,2050
530330114013,41.0,2050
530330114021,75.0,2050
530330114022,56.0,2050
530330114023,81.0,2050
530330115001,3.0,2050
530330115002,32.0,2050
530330115003,6.0,2050
530330116011,26.0,2050
530330116012,27.0,2050
530330116021,9.0,2050
530330116022,3.0,2050
530330116023,30.0,2050
530330117001,98.0,2050
530330117002,85.0,2050
530330117003,3.0,2050
530330117004,64.0,2050
530330118011,14.0,2050
530330118012,8.0,2050
530330118013,66.0,2050
530330118021,12.0,2050
530330118022,19.0,2050
530330118023,39.0,2050
530330119011,28.0,2050
530330119012,8.0,2050
530330119013,40.0,2050
530330119021,12.0,2050
530330119022,24.0,2050
530330119023,12.0,2050
530330120001,17.0,2050
530330120002,11.0,2050
530330120003,11.0,2050
530330121001,11.0,2050
530330209002,54.0,2050
530330210002,40.0,2050
530330210003,49.0,2050
530330211003,51.0,2050
530330213002,66.0,2050
530330260011,12.0,2050
530330260013,20.0,2050
530330261011,37.0,2050
530330261012,22.0,2050
530330261021,20.0,2050
530330263001,98.0,2050
530330264001,31.0,2050
530330264003,29.0,2050
530330264004,23.0,2050
530330265001,39.0,2050
530330265002,56.0,2050
530330266001,56.0,2050
530330266002,11.0,2050
530330267004,11.0,2050
530330017024,0.0,2050
530330029002,0.0,2050
530330031002,0.0,2050
530330047011,0.0,2050
530330047023,0.0,2050
530330053071,0.0,2050
530330053072,0.0,2050
530330053073,0.0,2050
530330059021,0.0,2050
530330063004,0.0,2050
530330121002,0.0,2050
